ShapeNet(666, categories=['Car'])
ShapeNet(74, categories=['Car'])
<torch_geometric.loader.dataloader.DataLoader object at 0x7f15b2f44fd0>
<torch_geometric.loader.dataloader.DataLoader object at 0x7f15b2f4aee0>
[Errno 17] File exists: './recon/recon_Car_b10_pcFalse_pr0.8_sn20'
Epoch: 102, Loss: 0.02781, Test Acc: 0.02831
Epoch: 103, Loss: 0.02790, Test Acc: 0.02830
Epoch: 104, Loss: 0.02799, Test Acc: 0.02839
Epoch: 105, Loss: 0.02848, Test Acc: 0.02873
Epoch: 106, Loss: 0.02894, Test Acc: 0.02885
Epoch: 107, Loss: 0.02881, Test Acc: 0.03008
Epoch: 108, Loss: 0.02888, Test Acc: 0.02887
Epoch: 109, Loss: 0.02882, Test Acc: 0.02856
Epoch: 110, Loss: 0.02867, Test Acc: 0.02859
Epoch: 111, Loss: 0.02861, Test Acc: 0.02883
Epoch: 112, Loss: 0.02844, Test Acc: 0.02961
Epoch: 113, Loss: 0.02834, Test Acc: 0.02837
Epoch: 114, Loss: 0.02832, Test Acc: 0.02925
Epoch: 115, Loss: 0.02819, Test Acc: 0.02832
Epoch: 116, Loss: 0.02810, Test Acc: 0.02822
Epoch: 117, Loss: 0.02802, Test Acc: 0.02795
Epoch: 118, Loss: 0.02793, Test Acc: 0.02778
Epoch: 119, Loss: 0.02801, Test Acc: 0.02796
Epoch: 120, Loss: 0.02795, Test Acc: 0.02791
Epoch: 121, Loss: 0.02790, Test Acc: 0.02835
Epoch: 122, Loss: 0.02781, Test Acc: 0.02774
Epoch: 123, Loss: 0.02768, Test Acc: 0.02771
Epoch: 124, Loss: 0.02758, Test Acc: 0.02745
Epoch: 125, Loss: 0.02762, Test Acc: 0.02745
Epoch: 126, Loss: 0.02747, Test Acc: 0.02756
Epoch: 127, Loss: 0.02748, Test Acc: 0.02812
Epoch: 128, Loss: 0.02753, Test Acc: 0.02717
Epoch: 129, Loss: 0.02734, Test Acc: 0.02777
Epoch: 130, Loss: 0.02728, Test Acc: 0.02743
Epoch: 131, Loss: 0.02733, Test Acc: 0.02713
Epoch: 132, Loss: 0.02732, Test Acc: 0.02719
Epoch: 133, Loss: 0.02723, Test Acc: 0.02765
Epoch: 134, Loss: 0.02730, Test Acc: 0.02732
Epoch: 135, Loss: 0.02726, Test Acc: 0.02838
Epoch: 136, Loss: 0.02709, Test Acc: 0.02693
Epoch: 137, Loss: 0.02692, Test Acc: 0.02683
Epoch: 138, Loss: 0.02684, Test Acc: 0.02673
Epoch: 139, Loss: 0.02684, Test Acc: 0.02778
Epoch: 140, Loss: 0.02680, Test Acc: 0.02671
Epoch: 141, Loss: 0.02655, Test Acc: 0.02676
Epoch: 142, Loss: 0.02662, Test Acc: 0.02654
Epoch: 143, Loss: 0.02662, Test Acc: 0.02652
