ShapeNet(666, categories=['Car'])
ShapeNet(74, categories=['Car'])
<torch_geometric.loader.dataloader.DataLoader object at 0x7fb0b48f4e20>
<torch_geometric.loader.dataloader.DataLoader object at 0x7fb0b48fbee0>
[Errno 17] File exists: './recon/recon_Car_b10_pcFalse_pr0.8_sn0'
Epoch: 102, Loss: 0.03455, Test Acc: 0.03473
Epoch: 103, Loss: 0.03460, Test Acc: 0.03439
Epoch: 104, Loss: 0.03454, Test Acc: 0.03472
Epoch: 105, Loss: 0.03500, Test Acc: 0.03518
Epoch: 106, Loss: 0.03483, Test Acc: 0.03487
Epoch: 107, Loss: 0.03479, Test Acc: 0.03445
Epoch: 108, Loss: 0.03454, Test Acc: 0.03452
Epoch: 109, Loss: 0.03473, Test Acc: 0.03452
Epoch: 110, Loss: 0.03493, Test Acc: 0.03500
Epoch: 111, Loss: 0.03487, Test Acc: 0.03483
Epoch: 112, Loss: 0.03465, Test Acc: 0.03444
Epoch: 113, Loss: 0.03436, Test Acc: 0.03458
Epoch: 114, Loss: 0.03450, Test Acc: 0.03419
Epoch: 115, Loss: 0.03439, Test Acc: 0.03453
Epoch: 116, Loss: 0.03448, Test Acc: 0.03458
Epoch: 117, Loss: 0.03449, Test Acc: 0.03451
Epoch: 118, Loss: 0.03437, Test Acc: 0.03421
Epoch: 119, Loss: 0.03445, Test Acc: 0.03434
Epoch: 120, Loss: 0.03464, Test Acc: 0.03456
Epoch: 121, Loss: 0.03458, Test Acc: 0.03456
Epoch: 122, Loss: 0.03442, Test Acc: 0.03452
Epoch: 123, Loss: 0.03438, Test Acc: 0.03488
Epoch: 124, Loss: 0.03419, Test Acc: 0.03405
Epoch: 125, Loss: 0.03396, Test Acc: 0.03391
Epoch: 126, Loss: 0.03376, Test Acc: 0.03382
Epoch: 127, Loss: 0.03378, Test Acc: 0.03435
Epoch: 128, Loss: 0.03419, Test Acc: 0.03418
Epoch: 129, Loss: 0.03430, Test Acc: 0.03403
Epoch: 130, Loss: 0.03422, Test Acc: 0.03430
Epoch: 131, Loss: 0.03446, Test Acc: 0.03449
Epoch: 132, Loss: 0.03450, Test Acc: 0.03489
Epoch: 133, Loss: 0.03452, Test Acc: 0.03459
Epoch: 134, Loss: 0.03480, Test Acc: 0.03506
